Subject c,,Condition: discrimination,
Binned delta,Proportion CW,SE,Coherence
-19.5,0.290,0.036,0.04
-15.5,0.345,0.037,0.04
-11.5,0.371,0.039,0.04
-7.5,0.393,0.040,0.04
-3.5,0.4,0.039,0.04
0.5,0.523,0.040,0.04
4.5,0.594,0.039,0.04
8.5,0.633,0.041,0.04
12.5,0.675,0.040,0.04
16.5,0.683,0.039,0.04
20.5,0.744,0.038,0.04
-19.5,0.172,0.032,0.07
-15.5,0.203,0.031,0.07
-11.5,0.236,0.035,0.07
-7.5,0.373,0.040,0.07
-3.5,0.417,0.041,0.07
0.5,0.493,0.041,0.07
4.5,0.595,0.042,0.07
8.5,0.725,0.036,0.07
12.5,0.74,0.035,0.07
16.5,0.8,0.035,0.07
20.5,0.804,0.032,0.07
-19.5,0.092,0.025,0.13
-15.5,0.131,0.030,0.13
-11.5,0.234,0.035,0.13
-7.5,0.333,0.040,0.13
-3.5,0.385,0.043,0.13
0.5,0.531,0.042,0.13
4.5,0.672,0.039,0.13
8.5,0.745,0.036,0.13
12.5,0.796,0.034,0.13
16.5,0.777,0.032,0.13
20.5,0.908,0.023,0.13
-19.5,0.051,0.018,0.25
-15.5,0.082,0.024,0.25
-11.5,0.150,0.030,0.25
-7.5,0.261,0.035,0.25
-3.5,0.364,0.039,0.25
0.5,0.383,0.041,0.25
4.5,0.623,0.040,0.25
8.5,0.739,0.035,0.25
12.5,0.762,0.035,0.25
16.5,0.800,0.033,0.25
20.5,0.924,0.021,0.25