Subject c,,Condition: reference absent
Delta,Estimate,Coherence
-24.5,-35,0.04
-24.5,-5,0.04
-23.5,10,0.04
-23.5,-30,0.04
-23.5,26,0.04
-22.5,-28,0.04
-22.5,0,0.04
-22.5,-4,0.04
-21.5,-26,0.04
-21.5,3,0.04
-21.5,-6,0.04
-20.5,-10,0.04
-20.5,0,0.04
-20.5,10,0.04
-20.5,-26,0.04
-20.5,-33,0.04
-20.5,-33,0.04
-20.5,-14,0.04
-20.5,2,0.04
-19.5,26,0.04
-19.5,3,0.04
-19.5,26,0.04
-19.5,-12,0.04
-19.5,18,0.04
-18.5,-31,0.04
-18.5,3,0.04
-17.5,-20,0.04
-17.5,-17,0.04
-16.5,-11,0.04
-15.5,-38,0.04
-15.5,-33,0.04
-15.5,18,0.04
-15.5,-24,0.04
-15.5,18,0.04
-14.5,-12,0.04
-13.5,14,0.04
-13.5,-36,0.04
-13.5,-17,0.04
-13.5,-26,0.04
-12.5,10,0.04
-12.5,-15,0.04
-12.5,-29,0.04
-11.5,29,0.04
-11.5,-17,0.04
-11.5,19,0.04
-11.5,11,0.04
-11.5,-35,0.04
-10.5,-37,0.04
-10.5,-17,0.04
-10.5,34,0.04
-10.5,-12,0.04
-9.5,-31,0.04
-9.5,24,0.04
-9.5,-16,0.04
-9.5,9,0.04
-7.5,33,0.04
-7.5,-20,0.04
-7.5,-27,0.04
-6.5,21,0.04
-6.5,-2,0.04
-6.5,-34,0.04
-6.5,-27,0.04
-5.5,24,0.04
-5.5,16,0.04
-5.5,37,0.04
-5.5,13,0.04
-5.5,-3,0.04
-5.5,-12,0.04
-4.5,-14,0.04
-4.5,-4,0.04
-3.5,4,0.04
-3.5,-27,0.04
-3.5,-27,0.04
-3.5,22,0.04
-2.5,29,0.04
-2.5,25,0.04
-2.5,28,0.04
-1.5,10,0.04
-1.5,-7,0.04
-1.5,-17,0.04
-1.5,-32,0.04
-0.5,15,0.04
-0.5,-22,0.04
0.5,24,0.04
0.5,6,0.04
0.5,13,0.04
0.5,-38,0.04
0.5,-1,0.04
0.5,27,0.04
0.5,-32,0.04
1.5,25,0.04
1.5,-4,0.04
2.5,-32,0.04
2.5,-36,0.04
3.5,-13,0.04
4.5,15,0.04
4.5,17,0.04
4.5,19,0.04
4.5,30,0.04
4.5,-12,0.04
4.5,-12,0.04
5.5,-9,0.04
5.5,13,0.04
6.5,35,0.04
6.5,2,0.04
6.5,35,0.04
6.5,6,0.04
7.5,23,0.04
7.5,37,0.04
8.5,30,0.04
8.5,20,0.04
8.5,12,0.04
8.5,17,0.04
9.5,26,0.04
9.5,31,0.04
9.5,6,0.04
10.5,22,0.04
10.5,1,0.04
11.5,-40,0.04
11.5,32,0.04
11.5,29,0.04
12.5,40,0.04
12.5,33,0.04
12.5,2,0.04
12.5,-2,0.04
12.5,24,0.04
12.5,11,0.04
13.5,26,0.04
14.5,43,0.04
14.5,-24,0.04
15.5,37,0.04
15.5,2,0.04
15.5,-41,0.04
16.5,6,0.04
16.5,2,0.04
16.5,25,0.04
17.5,-29,0.04
17.5,26,0.04
17.5,20,0.04
18.5,30,0.04
18.5,9,0.04
19.5,26,0.04
19.5,14,0.04
19.5,-11,0.04
19.5,40,0.04
19.5,21,0.04
20.5,23,0.04
20.5,22,0.04
20.5,-26,0.04
21.5,23,0.04
21.5,6,0.04
22.5,10,0.04
22.5,22,0.04
22.5,25,0.04
23.5,-2,0.04
23.5,22,0.04
23.5,23,0.04
24.5,21,0.04
24.5,32,0.04
24.5,-5,0.04
24.5,24,0.04
-24.5,10,0.07
-23.5,-16,0.07
-23.5,-19,0.07
-23.5,-15,0.07
-22.5,-17,0.07
-22.5,-32,0.07
-22.5,-26,0.07
-22.5,-16,0.07
-21.5,-28,0.07
-21.5,-28,0.07
-21.5,-25,0.07
-21.5,0,0.07
-21.5,-13,0.07
-21.5,-20,0.07
-21.5,-17,0.07
-21.5,-32,0.07
-20.5,-26,0.07
-19.5,-19,0.07
-19.5,13,0.07
-19.5,-20,0.07
-18.5,14,0.07
-18.5,-20,0.07
-18.5,-15,0.07
-18.5,-27,0.07
-18.5,-31,0.07
-18.5,-22,0.07
-17.5,-27,0.07
-17.5,32,0.07
-17.5,-17,0.07
-17.5,-16,0.07
-16.5,-10,0.07
-16.5,23,0.07
-16.5,-32,0.07
-15.5,-13,0.07
-15.5,-11,0.07
-15.5,-5,0.07
-15.5,-24,0.07
-14.5,10,0.07
-14.5,-34,0.07
-14.5,-34,0.07
-14.5,3,0.07
-14.5,-41,0.07
-13.5,-28,0.07
-13.5,-17,0.07
-13.5,0,0.07
-13.5,-14,0.07
-13.5,-11,0.07
-12.5,-11,0.07
-12.5,-24,0.07
-12.5,-28,0.07
-12.5,-39,0.07
-11.5,14,0.07
-11.5,-32,0.07
-11.5,-44,0.07
-11.5,20,0.07
-10.5,-10,0.07
-9.5,18,0.07
-9.5,-14,0.07
-9.5,-19,0.07
-9.5,-31,0.07
-9.5,-5,0.07
-9.5,-35,0.07
-8.5,-28,0.07
-8.5,-24,0.07
-8.5,-26,0.07
-8.5,6,0.07
-8.5,-9,0.07
-7.5,26,0.07
-7.5,-5,0.07
-7.5,-9,0.07
-6.5,-24,0.07
-6.5,30,0.07
-6.5,8,0.07
-6.5,-15,0.07
-6.5,-13,0.07
-5.5,21,0.07
-5.5,37,0.07
-5.5,-4,0.07
-5.5,-21,0.07
-5.5,-17,0.07
-5.5,15,0.07
-5.5,-12,0.07
-4.5,17,0.07
-4.5,11,0.07
-3.5,9,0.07
-3.5,-4,0.07
-3.5,-35,0.07
-3.5,-24,0.07
-3.5,-1,0.07
-3.5,2,0.07
-3.5,-22,0.07
-2.5,-32,0.07
-2.5,-3,0.07
-1.5,-32,0.07
-1.5,11,0.07
-1.5,43,0.07
-1.5,-21,0.07
-1.5,-31,0.07
-0.5,-1,0.07
-0.5,25,0.07
0.5,43,0.07
0.5,11,0.07
0.5,31,0.07
0.5,17,0.07
0.5,28,0.07
0.5,12,0.07
0.5,18,0.07
1.5,-21,0.07
1.5,3,0.07
1.5,13,0.07
1.5,19,0.07
1.5,12,0.07
2.5,-20,0.07
2.5,16,0.07
2.5,-14,0.07
3.5,-22,0.07
3.5,18,0.07
4.5,-15,0.07
4.5,-24,0.07
4.5,-1,0.07
4.5,-12,0.07
5.5,22,0.07
6.5,33,0.07
6.5,26,0.07
6.5,-34,0.07
6.5,-35,0.07
7.5,-10,0.07
7.5,33,0.07
7.5,-30,0.07
7.5,-5,0.07
8.5,20,0.07
8.5,-26,0.07
8.5,-9,0.07
8.5,25,0.07
9.5,28,0.07
9.5,28,0.07
9.5,-1,0.07
9.5,-19,0.07
9.5,40,0.07
9.5,-33,0.07
9.5,11,0.07
9.5,-1,0.07
10.5,-26,0.07
10.5,-13,0.07
10.5,15,0.07
10.5,-13,0.07
10.5,0,0.07
11.5,-13,0.07
11.5,11,0.07
11.5,11,0.07
11.5,23,0.07
12.5,24,0.07
12.5,21,0.07
12.5,25,0.07
12.5,12,0.07
13.5,17,0.07
13.5,-18,0.07
13.5,32,0.07
13.5,13,0.07
13.5,-32,0.07
13.5,14,0.07
13.5,10,0.07
13.5,-6,0.07
14.5,-18,0.07
14.5,35,0.07
14.5,25,0.07
14.5,39,0.07
14.5,12,0.07
14.5,18,0.07
15.5,23,0.07
15.5,29,0.07
16.5,-13,0.07
16.5,20,0.07
16.5,36,0.07
16.5,15,0.07
17.5,25,0.07
17.5,25,0.07
18.5,32,0.07
18.5,-6,0.07
18.5,18,0.07
18.5,28,0.07
18.5,14,0.07
18.5,8,0.07
19.5,13,0.07
19.5,9,0.07
19.5,13,0.07
19.5,25,0.07
19.5,23,0.07
19.5,-16,0.07
19.5,21,0.07
20.5,28,0.07
20.5,33,0.07
20.5,31,0.07
20.5,30,0.07
21.5,44,0.07
22.5,-1,0.07
22.5,4,0.07
22.5,32,0.07
22.5,14,0.07
22.5,-18,0.07
22.5,-2,0.07
22.5,33,0.07
23.5,16,0.07
23.5,-34,0.07
23.5,42,0.07
23.5,9,0.07
24.5,39,0.07
24.5,41,0.07
-24.5,-8,0.13
-23.5,-21,0.13
-23.5,-40,0.13
-23.5,-35,0.13
-22.5,13,0.13
-22.5,-33,0.13
-21.5,-27,0.13
-21.5,-14,0.13
-20.5,-28,0.13
-20.5,-28,0.13
-20.5,-39,0.13
-20.5,-32,0.13
-19.5,-23,0.13
-19.5,-22,0.13
-19.5,-39,0.13
-19.5,-10,0.13
-18.5,34,0.13
-18.5,-32,0.13
-18.5,-7,0.13
-18.5,-13,0.13
-18.5,-42,0.13
-18.5,-14,0.13
-17.5,-21,0.13
-17.5,-19,0.13
-16.5,-3,0.13
-16.5,-15,0.13
-16.5,-40,0.13
-16.5,-27,0.13
-15.5,-7,0.13
-15.5,9,0.13
-14.5,44,0.13
-14.5,-42,0.13
-14.5,-22,0.13
-14.5,-20,0.13
-14.5,-20,0.13
-14.5,1,0.13
-13.5,-33,0.13
-13.5,33,0.13
-13.5,-17,0.13
-12.5,-18,0.13
-12.5,-33,0.13
-12.5,-19,0.13
-11.5,-13,0.13
-11.5,-22,0.13
-11.5,21,0.13
-11.5,-6,0.13
-11.5,-6,0.13
-10.5,-9,0.13
-10.5,-30,0.13
-10.5,-9,0.13
-10.5,-9,0.13
-10.5,-18,0.13
-9.5,-2,0.13
-9.5,-19,0.13
-9.5,-10,0.13
-9.5,-20,0.13
-9.5,-20,0.13
-8.5,-25,0.13
-8.5,-29,0.13
-8.5,-25,0.13
-8.5,-9,0.13
-7.5,-15,0.13
-7.5,-18,0.13
-6.5,-23,0.13
-6.5,-23,0.13
-6.5,-10,0.13
-6.5,1,0.13
-5.5,-19,0.13
-5.5,-14,0.13
-5.5,-16,0.13
-4.5,-13,0.13
-4.5,-5,0.13
-4.5,15,0.13
-4.5,-32,0.13
-4.5,-1,0.13
-3.5,-19,0.13
-3.5,-37,0.13
-2.5,-10,0.13
-2.5,-20,0.13
-1.5,-3,0.13
-0.5,20,0.13
1.5,-1,0.13
1.5,33,0.13
1.5,11,0.13
1.5,9,0.13
1.5,40,0.13
1.5,3,0.13
1.5,-27,0.13
2.5,41,0.13
2.5,35,0.13
2.5,-17,0.13
2.5,-25,0.13
2.5,-3,0.13
2.5,24,0.13
2.5,-27,0.13
3.5,-8,0.13
3.5,-13,0.13
3.5,16,0.13
3.5,-4,0.13
3.5,-19,0.13
4.5,21,0.13
4.5,-25,0.13
4.5,-16,0.13
5.5,11,0.13
5.5,2,0.13
5.5,-6,0.13
6.5,-25,0.13
6.5,0,0.13
6.5,-30,0.13
6.5,30,0.13
7.5,17,0.13
7.5,-22,0.13
7.5,36,0.13
7.5,-11,0.13
8.5,-30,0.13
8.5,-25,0.13
8.5,-12,0.13
9.5,-25,0.13
9.5,21,0.13
9.5,26,0.13
10.5,26,0.13
11.5,41,0.13
11.5,18,0.13
12.5,31,0.13
12.5,-40,0.13
12.5,26,0.13
12.5,19,0.13
12.5,7,0.13
13.5,19,0.13
13.5,34,0.13
13.5,29,0.13
13.5,30,0.13
14.5,11,0.13
14.5,20,0.13
14.5,40,0.13
14.5,12,0.13
15.5,23,0.13
15.5,-2,0.13
15.5,29,0.13
15.5,29,0.13
15.5,14,0.13
15.5,26,0.13
15.5,4,0.13
15.5,25,0.13
15.5,27,0.13
16.5,42,0.13
16.5,-18,0.13
16.5,18,0.13
17.5,-19,0.13
17.5,35,0.13
17.5,26,0.13
17.5,-4,0.13
18.5,32,0.13
18.5,12,0.13
18.5,37,0.13
19.5,21,0.13
19.5,21,0.13
19.5,17,0.13
19.5,41,0.13
19.5,-26,0.13
20.5,28,0.13
20.5,29,0.13
20.5,4,0.13
20.5,22,0.13
20.5,12,0.13
20.5,32,0.13
21.5,28,0.13
22.5,31,0.13
23.5,28,0.13
23.5,36,0.13
24.5,29,0.13
24.5,42,0.13
-24.5,-41,0.25
-24.5,-29,0.25
-23.5,-28,0.25
-23.5,-32,0.25
-23.5,-32,0.25
-23.5,-35,0.25
-22.5,-26,0.25
-22.5,-13,0.25
-22.5,-38,0.25
-22.5,-31,0.25
-22.5,-28,0.25
-22.5,-29,0.25
-22.5,-20,0.25
-21.5,-43,0.25
-21.5,-10,0.25
-21.5,-28,0.25
-21.5,-32,0.25
-21.5,-37,0.25
-21.5,-40,0.25
-20.5,-31,0.25
-20.5,-27,0.25
-20.5,-31,0.25
-20.5,17,0.25
-20.5,-28,0.25
-20.5,-31,0.25
-18.5,-33,0.25
-18.5,-23,0.25
-18.5,-8,0.25
-18.5,-43,0.25
-18.5,-17,0.25
-17.5,-27,0.25
-17.5,-23,0.25
-17.5,-42,0.25
-15.5,17,0.25
-15.5,-9,0.25
-15.5,-8,0.25
-14.5,-28,0.25
-14.5,-20,0.25
-14.5,-26,0.25
-14.5,24,0.25
-14.5,-9,0.25
-13.5,-24,0.25
-13.5,-15,0.25
-13.5,-44,0.25
-13.5,-22,0.25
-13.5,-1,0.25
-13.5,-40,0.25
-13.5,29,0.25
-12.5,7,0.25
-12.5,-36,0.25
-11.5,-23,0.25
-11.5,10,0.25
-11.5,18,0.25
-11.5,33,0.25
-11.5,-34,0.25
-11.5,-37,0.25
-11.5,-37,0.25
-11.5,-19,0.25
-10.5,-26,0.25
-10.5,-19,0.25
-10.5,-21,0.25
-10.5,-34,0.25
-9.5,-42,0.25
-9.5,44,0.25
-9.5,-27,0.25
-9.5,-15,0.25
-8.5,-12,0.25
-8.5,-9,0.25
-8.5,20,0.25
-8.5,-26,0.25
-8.5,-37,0.25
-8.5,-13,0.25
-7.5,-4,0.25
-7.5,-5,0.25
-7.5,-40,0.25
-7.5,9,0.25
-6.5,-23,0.25
-6.5,-10,0.25
-6.5,-23,0.25
-5.5,-12,0.25
-5.5,-3,0.25
-5.5,-28,0.25
-5.5,-23,0.25
-5.5,-5,0.25
-4.5,-27,0.25
-4.5,-12,0.25
-3.5,12,0.25
-3.5,-3,0.25
-3.5,30,0.25
-3.5,-21,0.25
-3.5,-25,0.25
-2.5,1,0.25
-2.5,-22,0.25
-2.5,10,0.25
-2.5,27,0.25
-1.5,-27,0.25
-1.5,30,0.25
-1.5,25,0.25
-1.5,-2,0.25
-1.5,-16,0.25
-0.5,-10,0.25
-0.5,-7,0.25
-0.5,5,0.25
-0.5,-18,0.25
0.5,12,0.25
0.5,34,0.25
0.5,10,0.25
0.5,15,0.25
0.5,23,0.25
0.5,-8,0.25
1.5,19,0.25
1.5,16,0.25
1.5,25,0.25
2.5,19,0.25
2.5,11,0.25
3.5,39,0.25
3.5,12,0.25
3.5,31,0.25
3.5,0,0.25
4.5,24,0.25
4.5,8,0.25
4.5,-23,0.25
4.5,13,0.25
4.5,12,0.25
5.5,25,0.25
5.5,-16,0.25
6.5,26,0.25
6.5,10,0.25
6.5,-15,0.25
6.5,-16,0.25
6.5,22,0.25
7.5,28,0.25
7.5,0,0.25
7.5,16,0.25
7.5,5,0.25
7.5,28,0.25
7.5,29,0.25
8.5,17,0.25
9.5,30,0.25
9.5,14,0.25
9.5,35,0.25
9.5,19,0.25
9.5,18,0.25
9.5,5,0.25
9.5,5,0.25
10.5,29,0.25
11.5,26,0.25
11.5,27,0.25
11.5,-14,0.25
11.5,28,0.25
11.5,3,0.25
12.5,-21,0.25
12.5,43,0.25
12.5,32,0.25
12.5,18,0.25
13.5,-3,0.25
13.5,24,0.25
13.5,19,0.25
13.5,9,0.25
13.5,17,0.25
14.5,4,0.25
14.5,25,0.25
14.5,25,0.25
14.5,18,0.25
14.5,14,0.25
15.5,20,0.25
15.5,12,0.25
15.5,31,0.25
16.5,19,0.25
16.5,20,0.25
16.5,27,0.25
16.5,25,0.25
16.5,20,0.25
17.5,20,0.25
17.5,23,0.25
17.5,29,0.25
18.5,25,0.25
18.5,26,0.25
18.5,33,0.25
19.5,20,0.25
20.5,36,0.25
20.5,28,0.25
21.5,28,0.25
21.5,26,0.25
21.5,17,0.25
22.5,21,0.25
22.5,34,0.25
22.5,32,0.25
22.5,35,0.25
22.5,37,0.25
23.5,44,0.25
24.5,31,0.25
24.5,40,0.25
24.5,35,0.25
24.5,38,0.25
24.5,38,0.25