Subject f,,Condition: discrimination task,
Binned delta,Proportion CW,SE,Coherence
-19.5,0.446,0.043,0.04
-15.5,0.486,0.044,0.04
-11.5,0.577,0.042,0.04
-7.5,0.532,0.047,0.04
-3.5,0.559,0.045,0.04
0.5,0.593,0.045,0.04
4.5,0.595,0.041,0.04
8.5,0.565,0.045,0.04
12.5,0.612,0.041,0.04
16.5,0.615,0.042,0.04
20.5,0.684,0.038,0.04
-19.5,0.378,0.041,0.07
-15.5,0.518,0.042,0.07
-11.5,0.397,0.040,0.07
-7.5,0.470,0.044,0.07
-3.5,0.500,0.043,0.07
0.5,0.528,0.045,0.07
4.5,0.597,0.044,0.07
8.5,0.664,0.039,0.07
12.5,0.707,0.038,0.07
16.5,0.621,0.041,0.07
20.5,0.678,0.043,0.07
-19.5,0.272,0.039,0.13
-15.5,0.276,0.038,0.13
-11.5,0.375,0.042,0.13
-7.5,0.489,0.041,0.13
-3.5,0.446,0.043,0.13
0.5,0.577,0.042,0.13
4.5,0.602,0.043,0.13
8.5,0.611,0.042,0.13
12.5,0.727,0.040,0.13
16.5,0.746,0.039,0.13
20.5,0.805,0.034,0.13
-19.5,0.178,0.033,0.25
-15.5,0.203,0.036,0.25
-11.5,0.276,0.041,0.25
-7.5,0.281,0.037,0.25
-3.5,0.457,0.041,0.25
0.5,0.543,0.039,0.25
4.5,0.626,0.041,0.25
8.5,0.738,0.039,0.25
12.5,0.779,0.038,0.25
16.5,0.857,0.030,0.25
20.5,0.852,0.031,0.25